x_source_schema_name,source_table_name,variable_name,variable_value,x_statistic_name,statistic_value,variable_type,variable_description_level_1,variable_value_level_1,variable_description_level_2,variable_value_level_2,variable_description_level_3,variable_value_level_3,variable_description_level_4,variable_value_level_4,custom_query,x_dnp
std,condition_occurrence,condition_end_date,,,condition_end_date,3,,,,,,,,,,Y
std,condition_occurrence,x_condition_update_date,,,x_condition_update_date,3,,,,,,,,,,Y
std,condition_occurrence,condition_start_date,extract(year from condition_start_date) * 10 + extract(quarter from condition_start_date),,,2,,,,,,,,,,Y
std,condition_occurrence,condition_end_date,extract(year from condition_end_date) * 10 + extract(quarter from condition_end_date),,,2,,,,,,,,,,Y
std,condition_occurrence,x_condition_update_date,extract(year from x_condition_update_date) * 10 + extract(quarter from x_condition_update_date),,,2,,,,,,,,,,Y
std,condition_occurrence,condition_type_source_value,condition_type_source_value,,,2,,,,,,,,,,Y
std,condition_occurrence,stop_reason,stop_reason,,,2,,,,,,,,,,Y
std,condition_occurrence,associated_provider_source_value,associated_provider_source_value,,,2,,,,,,,,,,Y
std,condition_occurrence,x_visit_occurrence_source_identifier,x_visit_occurrence_source_identifier,,,2,,,,,,,,,,Y
std,procedure_occurrence,procedure_occurrence_source_identifier,,,procedure_occurrence_source_identifier,4,,,,,,,,,,Y
std,procedure_occurrence,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
std,procedure_occurrence,person_source_value,person_source_value,,,2,,,,,,,,,,Y
std,procedure_occurrence,procedure_source_value,procedure_source_value,,,2,,,,,,,,,,Y
std,procedure_occurrence,procedure_source_value_vocabulary,procedure_source_value_vocabulary,,,2,,,,,,,,,,Y
std,procedure_occurrence,procedure_date,,,procedure_date,3,,,,,,,,,,Y
std,procedure_occurrence,procedure_quarter,extract(year from procedure_date) * 10 + extract(quarter from procedure_date),,,2,,,,,,,,,,Y
std,procedure_occurrence,procedure_type_source_value,procedure_type_source_value,,,2,,,,,,,,,,Y
std,procedure_occurrence,provider_record_source_value,provider_record_source_value,,,2,,,,,,,,,,Y
std,procedure_occurrence,x_visit_occurrence_source_identifier,x_visit_occurrence_source_identifier,,,2,,,,,,,,,,Y
std,procedure_occurrence,relevant_condition_source_value,relevant_condition_source_value,,,2,,,,,,,,,,Y
std,observation,observation_source_identifier,,,observation_source_identifier,4,,,,,,,,,,Y
std,observation,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
std,observation,person_source_value,person_source_value,,,2,,,,,,,,,,Y
std,observation,observation_source_value,observation_source_value,,,2,,,,,,,,,,Y
std,observation,observation_source_value_vocabulary,observation_source_value_vocabulary,,,2,,,,,,,,,,Y
std,observation,observation_date,,,observation_date,3,,,,,,,,,,Y
std,observation,observation_quarter,extract(year from observation_date) * 10 + extract(quarter from observation_date),,,2,,,,,,,,,,Y
std,observation,observation_time,observation_time,,,2,,,,,,,,,,Y
std,observation,value_as_number,,,value_as_number,1,,,,,,,,,,Y
std,observation,value_as_string,value_as_string,,,2,,,,,,,,,,Y
std,observation,unit_source_value,unit_source_value,,,2,,,,,,,,,,Y
std,observation,range_low,range_low,,,2,,,,,,,,,,Y
std,observation,range_high,range_high,,,2,,,,,,,,,,Y
std,observation,observation_type_source_value,observation_type_source_value,,,2,,,,,,,,,,Y
std,observation,associated_provider_source_value,associated_provider_source_value,,,2,,,,,,,,,,Y
std,observation,x_visit_occurrence_source_identifier,x_visit_occurrence_source_identifier,,,2,,,,,,,,,,Y
std,observation,relevant_condition_source_value,relevant_condition_source_value,,,2,,,,,,,,,,Y
std,observation,x_obs_comment,x_obs_comment,,,2,,,,,,,,,,Y
std,death,cause_of_death_source_value,,,cause_of_death_source_value,4,,,,,,,,,,Y
std,death,death_date,,,death_date,3,,,,,,,,,,Y
std,death,death_quarter,extract(year from death_date) * 10 + extract(quarter from death_date),,,2,,,,,,,,,,Y
std,death,death_type_source_value,death_type_source_value,,,2,,,,,,,,,,Y
std,death,person_source_value,person_source_value,,,2,,,,,,,,,,Y
std,drug_cost,drug_cost_source_identifier,,,drug_cost_source_identifier,4,,,,,,,,,,Y
std,drug_cost,average_wholesale_price,,,average_wholesale_price,1,,,,,,,,,,Y
std,drug_cost,dispensing_fee,,,dispensing_fee,1,,,,,,,,,,Y
std,drug_cost,drug_exposure_source_identifier,drug_exposure_source_identifier,,,2,,,,,,,,,,Y
std,drug_cost,ingredient_cost,,,ingredient_cost,1,,,,,,,,,,Y
std,drug_cost,paid_by_coordination_benefits,,,paid_by_coordination_benefits,1,,,,,,,,,,Y
std,drug_cost,paid_by_payer,,,paid_by_payer,1,,,,,,,,,,Y
std,drug_cost,paid_coinsurance,,,paid_coinsurance,1,,,,,,,,,,Y
std,drug_cost,paid_copay,,,paid_copay,1,,,,,,,,,,Y
std,drug_cost,paid_toward_deductible,,,paid_toward_deductible,1,,,,,,,,,,Y
std,drug_cost,payer_plan_period_source_identifier,payer_plan_period_source_identifier,,,2,,,,,,,,,,Y
std,drug_cost,total_out_of_pocket,,,total_out_of_pocket,1,,,,,,,,,,Y
std,drug_cost,total_paid,,,total_paid,1,,,,,,,,,,Y
std,payer_plan_period,payer_plan_period_source_identifier,,,payer_plan_period_source_identifier,4,,,,,,,,,,Y
std,payer_plan_period,payer_source_value,payer_source_value,,,2,,,,,,,,,,Y
std,payer_plan_period,person_source_value,person_source_value,,,2,,,,,,,,,,Y
std,payer_plan_period,plan_source_value,plan_source_value,,,2,,,,,,,,,,Y
std,payer_plan_period,payer_plan_period_start_date,,,payer_plan_period_start_date,3,,,,,,,,,,Y
std,payer_plan_period,payer_plan_period_end_date,,,payer_plan_period_end_date,3,,,,,,,,,,Y
std,payer_plan_period,payer_plan_period_start_quarter,extract(year from payer_plan_period_start_date) * 10 + extract(quarter from payer_plan_period_start_date),,,2,,,,,,,,,,Y
std,payer_plan_period,payer_plan_period_end_quarter,extract(year from payer_plan_period_end_date) * 10 + extract(quarter from payer_plan_period_end_date),,,2,,,,,,,,,,Y
std,payer_plan_period,family_source_value,family_source_value,,,2,,,,,,,,,,Y
std,procedure_cost,procedure_cost_source_identifier,,,procedure_cost_source_identifier,4,,,,,,,,,,Y
std,procedure_cost,procedure_occurrence_source_identifier,procedure_occurrence_source_identifier,,,2,,,,,,,,,,Y
std,procedure_cost,payer_plan_period_source_identifier,payer_plan_period_source_identifier,,,2,,,,,,,,,,Y
std,procedure_cost,paid_by_coordination_benefits,,,paid_by_coordination_benefits,1,,,,,,,,,,Y
std,procedure_cost,paid_by_payer,,,paid_by_payer,1,,,,,,,,,,Y
std,procedure_cost,paid_coinsurance,,,paid_coinsurance,1,,,,,,,,,,Y
std,procedure_cost,paid_copay,,,paid_copay,1,,,,,,,,,,Y
std,procedure_cost,paid_toward_deductible,,,paid_toward_deductible,1,,,,,,,,,,Y
std,procedure_cost,revenue_code_source_value,revenue_code_source_value,,,2,,,,,,,,,,Y
std,procedure_cost,total_out_of_pocket,,,total_out_of_pocket,1,,,,,,,,,,Y
std,procedure_cost,total_paid,,,total_paid,1,,,,,,,,,,Y
std,procedure_cost,disease_class_source_value,disease_class_source_value,,,2,,,,,,,,,,Y
omop,organization,organization_id,,,organization_id,4,,,,,,,,,,Y
omop,organization,organization_source_value,organization_source_value,,,2,,,,,,,,,,Y
omop,organization,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
omop,organization,place_of_service_concept_id,place_of_service_concept_id,,,2,,,,,,,,,,Y
omop,organization,place_of_service_source_value,place_of_service_source_value,,,2,,,,,,,,,,Y
omop,organization,location_id,location_id,,,2,,,,,,,,,,Y
omop,care_site,care_site_id,,,care_site_id,4,,,,,,,,,,Y
omop,care_site,care_site_source_value,care_site_source_value,,,2,,,,,,,,,,Y
omop,care_site,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
omop,care_site,location_id,location_id,,,2,,,,,,,,,,Y
omop,care_site,organization_id,organization_id,,,2,,,,,,,,,,Y
omop,care_site,place_of_service_concept_id,place_of_service_concept_id,,,2,,,,,,,,,,Y
omop,care_site,place_of_service_source_value,place_of_service_source_value,,,2,,,,,,,,,,Y
omop,care_site,x_care_site_name,x_care_site_name,,,2,,,,,,,,,,Y
omop,location,location_id,,,location_id,4,,,,,,,,,,Y
omop,location,location_source_value,location_source_value,,,2,,,,,,,,,,Y
omop,location,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
omop,location,address_1,address_1,,,2,,,,,,,,,,Y
omop,location,address_2,address_2,,,2,,,,,,,,,,Y
omop,location,city,city,,,2,,,,,,,,,,Y
omop,location,state,state,,,2,,,,,,,,,,Y
omop,location,zip,zip,,,2,,,,,,,,,,Y
omop,location,x_zip_deidentified,x_zip_deidentified,,,2,,,,,,,,,,Y
omop,location,county,county,,,2,,,,,,,,,,Y
omop,location,x_location_type,x_location_type,,,2,,,,,,,,,,Y
omop,provider,provider_id,,,provider_id,4,,,,,,,,,,Y
omop,provider,provider_source_value,provider_source_value,,,2,,,,,,,,,,Y
omop,provider,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
omop,provider,npi,npi,,,2,,,,,,,,,,Y
omop,provider,dea,dea,,,2,,,,,,,,,,Y
omop,provider,specialty_source_value,specialty_source_value,,,2,,,,,,,,,,Y
omop,provider,specialty_concept_id,specialty_concept_id,,,2,,,,,,,,,,Y
omop,provider,x_provider_first,x_provider_first,,,2,,,,,,,,,,Y
omop,provider,x_provider_middle,x_provider_middle,,,2,,,,,,,,,,Y
omop,provider,x_provider_last,x_provider_last,,,2,,,,,,,,,,Y
omop,provider,care_site_id,care_site_id,,,2,,,,,,,,,,Y
omop,provider,x_organization_id,x_organization_id,,,2,,,,,,,,,,Y
omop,person,person_id,,,person_id,4,,,,,,,,,,Y
omop,person,person_source_value,person_source_value,,,2,,,,,,,,,,Y
omop,person,location_id,location_id,,,2,,,,,,,,,,Y
omop,person,year_of_birth,year_of_birth,,,2,,,,,,,,,,Y
omop,person,month_of_birth,month_of_birth,,,2,,,,,,,,,,Y
omop,person,day_of_birth,day_of_birth,,,2,,,,,,,,,,Y
omop,person,gender_concept_id,gender_concept_id,,,2,,,,,,,,,,Y
omop,person,gender_source_value,gender_source_value,,,2,,,,,,,,,,Y
omop,person,race_concept_id,race_concept_id,,,2,,,,,,,,,,Y
omop,person,race_source_value,race_source_value,,,2,,,,,,,,,,Y
omop,person,ethnicity_concept_id,ethnicity_concept_id,,,2,,,,,,,,,,Y
omop,person,ethnicity_source_value,ethnicity_source_value,,,2,,,,,,,,,,Y
omop,person,provider_id,provider_id,,,2,,,,,,,,,,Y
omop,person,care_site_id,care_site_id,,,2,,,,,,,,,,Y
omop,person,x_organization_id,x_organization_id,,,2,,,,,,,,,,Y
omop,visit_occurrence,visit_occurrence_id,,,visit_occurrence_id,4,,,,,,,,,,Y
omop,visit_occurrence,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
omop,visit_occurrence,person_id,person_id,,,2,,,,,,,,,,Y
omop,visit_occurrence,visit_start_date,,,visit_start_date,3,,,,,,,,,,Y
omop,visit_occurrence,visit_end_date,,,visit_end_date,3,,,,,,,,,,Y
omop,visit_occurrence,visit_start_quarter,extract(year from visit_start_date) * 10 + extract(quarter from visit_start_date),,,2,,,,,,,,,,Y
omop,visit_occurrence,visit_end_quarter,visit_end_date,,,2,,,,,,,,,,Y
omop,visit_occurrence,place_of_service_concept_id,place_of_service_concept_id,,,2,,,,,,,,,,Y
omop,visit_occurrence,place_of_service_source_value,place_of_service_source_value,,,2,,,,,,,,,,Y
omop,visit_occurrence,x_provider_id,x_provider_id,,,2,,,,,,,,,,Y
omop,visit_occurrence,care_site_id,care_site_id,,,2,,,,,,,,,,Y
omop,drug_exposure,drug_exposure_id,,,drug_exposure_id,4,,,,,,,,,,Y
omop,drug_exposure,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
omop,drug_exposure,person_id,person_id,,,2,,,,,,,,,,Y
omop,drug_exposure,drug_concept_id,drug_concept_id,,,2,,,,,,,,,,Y
omop,drug_exposure,drug_source_value,drug_source_value,,,2,,,,,,,,,,Y
omop,drug_exposure,drug_exposure_start_date,,,drug_exposure_start_date,3,,,,,,,,,,Y
omop,drug_exposure,drug_exposure_end_date,,,drug_exposure_end_date,3,,,,,,,,,,Y
omop,drug_exposure,drug_exposure_start_quarter,extract(year from drug_exposure_start_date) * 10 + extract(quarter from drug_exposure_start_date),,,2,,,,,,,,,,Y
omop,drug_exposure,drug_exposure_end_quarter,extract(year from drug_exposure_end_date) * 10 + extract(quarter from drug_exposure_end_date),,,2,,,,,,,,,,Y
omop,drug_exposure,drug_type_concept_id,drug_type_concept_id,,,2,,,,,,,,,,Y
omop,drug_exposure,stop_reason,stop_reason,,,2,,,,,,,,,,Y
omop,drug_exposure,refills,refills,,refills,1,,,,,,,,,,Y
omop,drug_exposure,quantity,quantity,,quantity,1,,,,,,,,,,Y
omop,drug_exposure,days_supply,days_supply,,days_supply,1,,,,,,,,,,Y
omop,drug_exposure,x_drug_name,x_drug_name,,,2,,,,,,,,,,Y
omop,drug_exposure,x_drug_strength,x_drug_strength,,,2,,,,,,,,,,Y
omop,drug_exposure,sig,sig,,,2,,,,,,,,,,Y
omop,drug_exposure,prescribing_provider_id,prescribing_provider_id,,,2,,,,,,,,,,Y
omop,drug_exposure,visit_occurrence_id,visit_occurrence_id,,,2,,,,,,,,,,Y
omop,drug_exposure,relevant_condition_concept_id,relevant_condition_concept_id,,,2,,,,,,,,,,Y
omop,drug_cost,drug_cost_id,,,drug_cost_id,4,,,,,,,,,,Y
omop,drug_cost,drug_exposure_id,drug_exposure_id,,,2,,,,,,,,,,Y
omop,drug_cost,paid_copay,,,paid_copay,1,,,,,,,,,,Y
omop,drug_cost,paid_coinsurance,,,paid_coinsurance,1,,,,,,,,,,Y
omop,drug_cost,paid_toward_deductible,,,paid_toward_deductible,1,,,,,,,,,,Y
omop,drug_cost,paid_by_payer,,,paid_by_payer,1,,,,,,,,,,Y
omop,drug_cost,paid_by_coordination_benefits,,,paid_by_coordination_benefits,1,,,,,,,,,,Y
omop,drug_cost,total_out_of_pocket,,,total_out_of_pocket,1,,,,,,,,,,Y
omop,drug_cost,total_paid,,,total_paid,1,,,,,,,,,,Y
omop,drug_cost,ingredient_cost,,,ingredient_cost,1,,,,,,,,,,Y
omop,drug_cost,dispensing_fee,,,dispensing_fee,1,,,,,,,,,,Y
omop,drug_cost,average_wholesale_price,,,average_wholesale_price,1,,,,,,,,,,Y
omop,drug_cost,payer_plan_period_id,payer_plan_period_id,,,2,,,,,,,,,,Y
omop,drug_era,drug_era_id,,,drug_era_id,4,,,,,,,,,,Y
omop,drug_era,person_id,person_id,,,2,,,,,,,,,,Y
omop,drug_era,drug_concept_id,drug_concept_id,,,2,,,,,,,,,,Y
omop,drug_era,drug_era_start_date,,,drug_era_start_date,3,,,,,,,,,,Y
omop,drug_era,drug_era_end_date,,,drug_era_end_date,3,,,,,,,,,,Y
omop,drug_era,drug_era_start_quarter,extract(year from drug_era_start_date) * 10 + extract(quarter from drug_era_start_date),,,2,,,,,,,,,,Y
omop,drug_era,drug_era_end_quarter,extract(year from drug_era_end_date) * 10 + extract(quarter from drug_era_end_date),,,2,,,,,,,,,,Y
omop,drug_era,drug_type_concept_id,drug_type_concept_id,,,2,,,,,,,,,,Y
omop,drug_era,drug_exposure_count,,,drug_exposure_count,1,,,,,,,,,,Y
omop,condition_occurrence,condition_occurrence_id,,,condition_occurrence_id,4,,,,,,,,,,Y
omop,condition_occurrence,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
omop,condition_occurrence,person_id,person_id,,,2,,,,,,,,,,Y
omop,condition_occurrence,condition_concept_id,condition_concept_id,,,2,,,,,,,,,,Y
omop,condition_occurrence,condition_source_value,condition_source_value,,,2,,,,,,,,,,Y
omop,condition_occurrence,x_condition_source_desc,x_condition_source_desc,,,2,,,,,,,,,,Y
omop,condition_occurrence,condition_start_date,,,condition_start_date,3,,,,,,,,,,Y
omop,condition_occurrence,x_condition_update_date,,,x_condition_update_date,3,,,,,,,,,,Y
omop,condition_occurrence,condition_end_date,,,condition_end_date,3,,,,,,,,,,Y
omop,condition_occurrence,condition_start_quarter,extract(year from condition_start_date) * 10 + extract(quarter from condition_start_date),,,2,,,,,,,,,,Y
omop,condition_occurrence,x_condition_update_quarter,extract(year from x_condition_update_date) * 10 + extract(quarter from x_condition_update_date),,,2,,,,,,,,,,Y
omop,condition_occurrence,condition_end_quarter,extract(year from condition_end_date) * 10 + extract(quarter from condition_end_date),,,2,,,,,,,,,,Y
omop,condition_occurrence,condition_type_concept_id,condition_type_concept_id,,,2,,,,,,,,,,Y
omop,condition_occurrence,stop_reason,stop_reason,,,2,,,,,,,,,,Y
omop,condition_occurrence,associated_provider_id,associated_provider_id,,,2,,,,,,,,,,Y
omop,condition_occurrence,visit_occurrence_id,visit_occurrence_id,,,2,,,,,,,,,,Y
omop,condition_era,condition_era_id,,,condition_era_id,4,,,,,,,,,,Y
omop,condition_era,person_id,person_id,,,2,,,,,,,,,,Y
omop,condition_era,condition_concept_id,condition_concept_id,,,2,,,,,,,,,,Y
omop,condition_era,condition_era_start_date,,,condition_era_start_date,3,,,,,,,,,,Y
omop,condition_era,condition_era_end_date,,,condition_era_end_date,3,,,,,,,,,,Y
omop,condition_era,condition_era_start_quarter,extract(year from condition_era_start_date) * 10 + extract(quarter from condition_era_start_date),,,2,,,,,,,,,,Y
omop,condition_era,condition_era_end_quarter,extract(year from condition_era_end_date) * 10 + extract(quarter from condition_era_end_date),,,2,,,,,,,,,,Y
omop,condition_era,condition_type_concept_id,condition_type_concept_id,,,2,,,,,,,,,,Y
omop,condition_era,condition_occurrence_count,,,condition_occurrence_count,1,,,,,,,,,,Y
omop,procedure_occurrence,procedure_occurrence_id,,,procedure_occurrence_id,4,,,,,,,,,,Y
omop,procedure_occurrence,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
omop,procedure_occurrence,person_id,person_id,,,2,,,,,,,,,,Y
omop,procedure_occurrence,procedure_concept_id,procedure_concept_id,,,2,,,,,,,,,,Y
omop,procedure_occurrence,procedure_source_value,procedure_source_value,,,2,,,,,,,,,,Y
omop,procedure_occurrence,procedure_date,,,procedure_date,3,,,,,,,,,,Y
omop,procedure_occurrence,procedure_quarter,extract(year from procedure_date) * 10 + extract(quarter from procedure_date),,,2,,,,,,,,,,Y
omop,procedure_occurrence,procedure_type_concept_id,procedure_type_concept_id,,,2,,,,,,,,,,Y
omop,procedure_occurrence,associated_provider_id,associated_provider_id,,,2,,,,,,,,,,Y
omop,procedure_occurrence,visit_occurrence_id,visit_occurrence_id,,,2,,,,,,,,,,Y
omop,procedure_occurrence,relevant_condition_concept_id,relevant_condition_concept_id,,,2,,,,,,,,,,Y
omop,procedure_cost,procedure_cost_id,,,procedure_cost_id,4,,,,,,,,,,Y
omop,procedure_cost,procedure_occurrence_id,,,procedure_occurrence_id,1,,,,,,,,,,Y
omop,procedure_cost,paid_copay,,,paid_copay,1,,,,,,,,,,Y
omop,procedure_cost,paid_coinsurance,,,paid_coinsurance,1,,,,,,,,,,Y
omop,procedure_cost,paid_toward_deductible,,,paid_toward_deductible,1,,,,,,,,,,Y
omop,procedure_cost,paid_by_payer,,,paid_by_payer,1,,,,,,,,,,Y
omop,procedure_cost,paid_by_coordination_benefits,,,paid_by_coordination_benefits,1,,,,,,,,,,Y
omop,procedure_cost,total_out_of_pocket,,,total_out_of_pocket,1,,,,,,,,,,Y
omop,procedure_cost,total_paid,,,total_paid,1,,,,,,,,,,Y
omop,procedure_cost,disease_class_concept_id,disease_class_concept_id,,,2,,,,,,,,,,Y
omop,procedure_cost,disease_class_source_value,disease_class_source_value,,,2,,,,,,,,,,Y
omop,procedure_cost,revenue_code_concept_id,revenue_code_concept_id,,,2,,,,,,,,,,Y
omop,procedure_cost,revenue_code_source_value,revenue_code_source_value,,,2,,,,,,,,,,Y
omop,procedure_cost,payer_plan_period_id,payer_plan_period_id,,,2,,,,,,,,,,Y
omop,observation,observation_id,,,observation_id,4,,,,,,,,,,Y
omop,observation,x_data_source_type,x_data_source_type,,,2,,,,,,,,,,Y
omop,observation,person_id,person_id,,,2,,,,,,,,,,Y
omop,observation,observation_concept_id,observation_concept_id,,,2,,,,,,,,,,Y
omop,observation,observation_source_value,observation_source_value,,,2,,,,,,,,,,Y
omop,observation,observation_date,,,observation_date,3,,,,,,,,,,Y
omop,observation,observation_quarter,extract(year from observation_date) * 10 + extract(quarter from observation_date),,,2,,,,,,,,,,Y
omop,observation,observation_time,observation_time,,,2,,,,,,,,,,Y
omop,observation,value_as_number,,,value_as_number,1,,,,,,,,,,Y
