rule_order,rule_description,target_schema,target_table,target_column,map_type,map_order,source_schema,source_table,source_value
11,raw.vt_pharmacy_claims to std.care_site3,std,care_site,,WHERE,3,,,"vt_provider.provider_organization_type in ('1', '2')"
11,raw.vt_pharmacy_claims to std.care_site3,std,care_site,care_site_source_value,VALUE,4,,,vt_pharmacy_claims.prescribing_provider_id||'-'||vt_provider.provider_type_code||'-'||vt_provider.provider_organization_type
11,raw.vt_pharmacy_claims to std.care_site3,std,care_site,x_data_source_type,VALUE,5,,,'MEDICAID'
11,raw.vt_pharmacy_claims to std.care_site3,std,care_site,organization_source_value,VALUE,6,,,vt_pharmacy_claims.prescribing_provider_id||'-'||vt_provider.provider_type_code||'-'||vt_provider.provider_organization_type
11,raw.vt_pharmacy_claims to std.care_site3,std,care_site,place_of_service_source_value,VALUE,7,,,vt_pharmacy_claims.place_of_service_code
11,raw.vt_pharmacy_claims to std.care_site3,std,care_site,x_care_site_name,VALUE,8,,,vt_provider.provider_full_name
11,raw.vt_pharmacy_claims to std.care_site3,std,care_site,care_site_address_1,VALUE,9,,,vt_provider.provider_address_first_line
11,raw.vt_pharmacy_claims to std.care_site3,std,care_site,care_site_address_2,VALUE,10,,,vt_provider.provider_street
11,raw.vt_pharmacy_claims to std.care_site3,std,care_site,care_site_city,VALUE,11,,,vt_provider.provider_city
11,raw.vt_pharmacy_claims to std.care_site3,std,care_site,care_site_state,VALUE,12,,,vt_provider.provider_state
11,raw.vt_pharmacy_claims to std.care_site3,std,care_site,care_site_zip,VALUE,13,,,vt_provider.provider_zip_code
11,raw.vt_pharmacy_claims to std.care_site3,std,care_site,care_site_county,VALUE,14,,,NULL
12,raw.vt_pharmacy_claims to std.care_site4,std,care_site,care_site_source_value,PRIMARY,1,raw,vt_pharmacy_claims,"vt_pharmacy_claims.prescribing_provider_id,vt_pharmacy_claims.place_of_service_code,vt_provider.provider_organization_type"
12,raw.vt_pharmacy_claims to std.care_site4,std,care_site,,JOIN,2,raw,vt_provider,vt_pharmacy_claims.prescribing_provider_id = vt_provider.provider_id
12,raw.vt_pharmacy_claims to std.care_site4,std,care_site,,WHERE,3,,,vt_provider.provider_organization_type in ('0')
12,raw.vt_pharmacy_claims to std.care_site4,std,care_site,care_site_source_value,VALUE,4,,,vt_pharmacy_claims.prescribing_provider_id||'-'||vt_pharmacy_claims.place_of_service_code||'-'||vt_provider.provider_organization_type
12,raw.vt_pharmacy_claims to std.care_site4,std,care_site,x_data_source_type,VALUE,5,,,'MEDICAID'
12,raw.vt_pharmacy_claims to std.care_site4,std,care_site,organization_source_value,VALUE,6,,,'0'
12,raw.vt_pharmacy_claims to std.care_site4,std,care_site,place_of_service_source_value,VALUE,7,,,vt_pharmacy_claims.place_of_service_code
12,raw.vt_pharmacy_claims to std.care_site4,std,care_site,x_care_site_name,VALUE,8,,,vt_provider.provider_full_name
12,raw.vt_pharmacy_claims to std.care_site4,std,care_site,care_site_address_1,VALUE,9,,,vt_provider.provider_address_first_line
12,raw.vt_pharmacy_claims to std.care_site4,std,care_site,care_site_address_2,VALUE,10,,,vt_provider.provider_street
12,raw.vt_pharmacy_claims to std.care_site4,std,care_site,care_site_city,VALUE,11,,,vt_provider.provider_city
12,raw.vt_pharmacy_claims to std.care_site4,std,care_site,care_site_state,VALUE,12,,,vt_provider.provider_state
12,raw.vt_pharmacy_claims to std.care_site4,std,care_site,care_site_zip,VALUE,13,,,vt_provider.provider_zip_code
12,raw.vt_pharmacy_claims to std.care_site4,std,care_site,care_site_county,VALUE,14,,,NULL
13,raw.vt_medical_claims to std.provider1,std,provider,provider_source_value,PRIMARY,1,raw,vt_medical_claims,"vt_medical_claims.billing_provider_id,vt_medical_claims.place_of_service_code,vt_provider.provider_organization_type"
13,raw.vt_medical_claims to std.provider1,std,provider,,JOIN,2,raw,vt_provider,vt_medical_claims.billing_provider_id = vt_provider.provider_id
13,raw.vt_medical_claims to std.provider1,std,provider,,WHERE,3,,,vt_medical_claims.billing_provider_id IS NOT NULL AND vt_provider.provider_organization_type in('0')
13,raw.vt_medical_claims to std.provider1,std,provider,provider_source_value,VALUE,4,,,vt_medical_claims.billing_provider_id||'-'||vt_medical_claims.place_of_service_code||'-'||vt_provider.provider_specialty_code
13,raw.vt_medical_claims to std.provider1,std,provider,x_data_source_type,VALUE,5,,,'MEDICAID'
13,raw.vt_medical_claims to std.provider1,std,provider,npi,VALUE,6,,,vt_provider.provider_npi
13,raw.vt_medical_claims to std.provider1,std,provider,dea,VALUE,7,,,NULL
13,raw.vt_medical_claims to std.provider1,std,provider,specialty_source_value,VALUE,8,,,vt_provider.provider_specialty_code
13,raw.vt_medical_claims to std.provider1,std,provider,x_provider_first,VALUE,9,,,"case when vt_provider.provider_full_name~'^\w*(,)\w.*$' then split_part(split_part(vt_provider.provider_full_name,',',2),' ',1) else '' end"
13,raw.vt_medical_claims to std.provider1,std,provider,x_provider_middle,VALUE,10,,,"case when vt_provider.provider_full_name~'^\w*,\w* \w{1} .*$' then split_part(vt_provider.provider_full_name,' ',2) when vt_provider.provider_full_name~'^\w*,\w* \w{1}$' then split_part(vt_provider.provider_full_name,' ',2) else '' end "
13,raw.vt_medical_claims to std.provider1,std,provider,x_provider_last,VALUE,11,,,"case when vt_provider.provider_full_name~'^\w*(,).*$' then split_part(vt_provider.provider_full_name,',',1) else '' end"
13,raw.vt_medical_claims to std.provider1,std,provider,care_site_source_value,VALUE,12,,,vt_medical_claims.billing_provider_id||'-'||vt_medical_claims.place_of_service_code||'-'||vt_provider.provider_organization_type
13,raw.vt_medical_claims to std.provider1,std,provider,x_organization_source_value,VALUE,13,,,'0'
14,raw.vt_medical_claims to std.provider2,std,provider,provider_source_value,PRIMARY,1,raw,vt_medical_claims,"vt_medical_claims.billing_provider_id,vt_medical_claims.place_of_service_code,vt_provider.provider_organization_type"
14,raw.vt_medical_claims to std.provider2,std,provider,,JOIN,2,raw,vt_provider,vt_medical_claims.billing_provider_id = vt_provider.provider_id
14,raw.vt_medical_claims to std.provider2,std,provider,,WHERE,3,,,vt_medical_claims.billing_provider_id IS NOT NULL AND vt_provider.provider_organization_type in ('0')
14,raw.vt_medical_claims to std.provider2,std,provider,provider_source_value,VALUE,4,,,vt_medical_claims.billing_provider_id||'-'||vt_medical_claims.place_of_service_code||'-'||vt_provider.provider_specialty_code
14,raw.vt_medical_claims to std.provider2,std,provider,x_data_source_type,VALUE,5,,,'MEDICAID'
14,raw.vt_medical_claims to std.provider2,std,provider,npi,VALUE,6,,,vt_provider.provider_npi
14,raw.vt_medical_claims to std.provider2,std,provider,dea,VALUE,7,,,NULL
14,raw.vt_medical_claims to std.provider2,std,provider,specialty_source_value,VALUE,8,,,vt_provider.provider_specialty_code
14,raw.vt_medical_claims to std.provider2,std,provider,x_provider_first,VALUE,9,,,"case when vt_provider.provider_full_name~'^\w*(,)\w.*$' then split_part(split_part(vt_provider.provider_full_name,',',2),' ',1) else '' end"
14,raw.vt_medical_claims to std.provider2,std,provider,x_provider_middle,VALUE,10,,,"case when vt_provider.provider_full_name~'^\w*,\w* \w{1} .*$' then split_part(vt_provider.provider_full_name,' ',2) when vt_provider.provider_full_name~'^\w*,\w* \w{1}$' then split_part(vt_provider.provider_full_name,' ',2) else '' end "
14,raw.vt_medical_claims to std.provider2,std,provider,x_provider_last,VALUE,11,,,"case when vt_provider.provider_full_name~'^\w*(,).*$' then split_part(vt_provider.provider_full_name,',',1) else '' end"
14,raw.vt_medical_claims to std.provider2,std,provider,care_site_source_value,VALUE,12,,,vt_medical_claims.billing_provider_id||'-'||vt_provider.provider_type_code||'-'||vt_provider.provider_organization_type
14,raw.vt_medical_claims to std.provider2,std,provider,x_organization_source_value,VALUE,13,,,vt_medical_claims.billing_provider_id||'-'||vt_provider.provider_type_code||'-'||vt_provider.provider_organization_type
15,raw.vt_medical_claims to std.provider3,std,provider,provider_source_value,PRIMARY,1,raw,vt_medical_claims,"vt_medical_claims.attending_provider_id,vt_medical_claims.place_of_service_code,vt_provider.provider_organization_type"
15,raw.vt_medical_claims to std.provider3,std,provider,,JOIN,2,raw,vt_provider,vt_medical_claims.attending_provider_id = vt_provider.provider_id
15,raw.vt_medical_claims to std.provider3,std,provider,,WHERE,3,,,vt_medical_claims.attending_provider_id IS NOT NULL AND vt_provider.provider_organization_type in('0')
15,raw.vt_medical_claims to std.provider3,std,provider,provider_source_value,VALUE,4,,,vt_medical_claims.attending_provider_id||'-'||vt_medical_claims.place_of_service_code||'-'||vt_provider.provider_specialty_code
15,raw.vt_medical_claims to std.provider3,std,provider,x_data_source_type,VALUE,5,,,'MEDICAID'
15,raw.vt_medical_claims to std.provider3,std,provider,npi,VALUE,6,,,vt_provider.provider_npi
15,raw.vt_medical_claims to std.provider3,std,provider,dea,VALUE,7,,,NULL
15,raw.vt_medical_claims to std.provider3,std,provider,specialty_source_value,VALUE,8,,,vt_provider.provider_specialty_code
15,raw.vt_medical_claims to std.provider3,std,provider,x_provider_first,VALUE,9,,,"case when vt_provider.provider_full_name~'^\w*(,)\w.*$' then split_part(split_part(vt_provider.provider_full_name,',',2),' ',1) else '' end"
15,raw.vt_medical_claims to std.provider3,std,provider,x_provider_middle,VALUE,10,,,"case when vt_provider.provider_full_name~'^\w*,\w* \w{1} .*$' then split_part(vt_provider.provider_full_name,' ',2) when vt_provider.provider_full_name~'^\w*,\w* \w{1}$' then split_part(vt_provider.provider_full_name,' ',2) else '' end "
15,raw.vt_medical_claims to std.provider3,std,provider,x_provider_last,VALUE,11,,,"case when vt_provider.provider_full_name~'^\w*(,).*$' then split_part(vt_provider.provider_full_name,',',1) else '' end"
15,raw.vt_medical_claims to std.provider3,std,provider,care_site_source_value,VALUE,12,,,vt_medical_claims.attending_provider_id||'-'||vt_medical_claims.place_of_service_code||'-'||vt_provider.provider_organization_type
15,raw.vt_medical_claims to std.provider3,std,provider,x_organization_source_value,VALUE,13,,,'0'
16,raw.vt_medical_claims to std.provider4,std,provider,provider_source_value,PRIMARY,1,raw,vt_medical_claims,"vt_medical_claims.attending_provider_id,vt_medical_claims.place_of_service_code,vt_provider.provider_organization_type"
16,raw.vt_medical_claims to std.provider4,std,provider,,JOIN,2,raw,vt_provider,vt_medical_claims.attending_provider_id = vt_provider.provider_id
16,raw.vt_medical_claims to std.provider4,std,provider,,WHERE,3,,,vt_medical_claims.attending_provider_id IS NOT NULL AND vt_provider.provider_organization_type in('0')
